procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 416140 111680 6621092    0    0     0     0 1189 1165 22  6 71  0  0
 2  0      0 406368 111680 6630608    0    0     0     0  962 1011 21  6 72  0  0
 1  0      0 395532 111680 6641064    0    0     0     0  977 1051 21  7 73  0  0
 2  0      0 362268 111680 6671692    0    0     0   292 1314 1168 29  9 62  0  0
 1  0      0 408548 111680 6632428    0    0     0 31080 1617 1325 25  9 64  2  0
 1  0      0 395728 111680 6643980    0    0     0     0 1082 1109 20  7 72  0  0
 1  0      0 383812 111680 6655400    0    0     0     0 1033 1081 20  7 72  0  0
 1  0      0 374072 111680 6665796    0    0     0     0 1150 1094 20  7 72  0  0
 1  0      0 363740 111680 6675792    0    0     0   340 1187 1195 20  9 72  0  0
 7  0      0 377008 111680 6662192    0    0     0 31312 1669 1339 38 11 49  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 257192 111680 6793788    0    0  1666    52 2082 1934 82 17  0  0  0
 7  1      0 117332 111680 6929188    0    0     0  8200 1650 1252 81 18  0  0  0
 1  4      0 125416 111660 6922920    0    0     0 233172 4969 2574 71 18  0 11  0
 3  0      0 454188 111660 6585712    0    0     0 122128 4998 2179 32 19 36 13  0
 1  1      0 402436 111660 6635060    0    0  1667 45072 2221 2341 40 12 45  3  0
 3  0      0 359092 111660 6678620    0    0     0 21156 1367 1199 40 12 47  1  0
 4  0      0 310204 111660 6728188    0    0     0 66084 1514 1446 43 10 43  4  0
 1  1      0 316148 111660 6732628    0    0     0 63248 1830 1338 49 13 34  4  0
 2  0      0 447444 111660 6596120    0    0     0  2532 1357 1207 42 11 47  0  0
 3  0      0 405112 111660 6637588    0    0     0 66188 1485 1349 38 12 46  4  0
 2  0      0 359248 111660 6687660    0    0     0    24 1321 1156 43 10 47  0  0
 3  0      0 310612 111660 6736968    0    0     0 66100 1455 1344 40  9 47  3  0
 1  0      0 456784 111660 6586008    0    0     0 21776 1466 1259 22  9 68  1  0
 1  0      0 466124 111660 6565560    0    0     0 31808 1500 1335 34 10 55  2  0
 1  0      0 455328 111660 6575504    0    0     0     4 1072 1081 21  7 72  0  0
 1  0      0 443988 111660 6585480    0    0     0     0 1095 1075 21  7 71  0  0
 1  0      0 434664 111660 6595036    0    0     0    16 1254 1162 21  8 71  0  0
 1  0      0 424080 111660 6605196    0    0     0     4 1129 1125 21  6 72  0  0
 1  0      0 413244 111660 6615788    0    0     0   220 1082 1117 21  7 72  0  0
 1  0      0 433716 111660 6596432    0    0     0 31124 1428 1241 35  9 54  2  0
 1  0      0 422628 111660 6607576    0    0     0     0 1066 1099 21  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 411316 111660 6617924    0    0     0    32 1084 1072 21  6 72  0  0
 2  0      0 401488 111660 6627620    0    0     0     0 1044 1077 21  7 72  0  0
 3  0      0 392164 111660 6636928    0    0     0   368 1268 1230 21  8 71  0  0
 4  0      0 382084 111660 6646628    0    0     0   296 1041 1075 21  7 73  0  0
 7  0      0 405536 111660 6629388    0    0     0 31080 1752 1209 39 10 49  2  0
 9  0      0 280800 111660 6778956    0    0     0     0 1495 1152 83 16  1  0  0
 7  0      0 138172 111660 6918992    0    0     0 24372 1734 1375 81 18  0  1  0
 3  0      0 459428 111652 6580148    0    0     0 323292 6098 3141 58 19 12 12  0
 2  0      0 425464 111652 6634632    0    0     0   628 5055 1098 43 11 46  0  0
 2  0      0 377080 111652 6681928    0    0     0 66264 2159 1477 39 11 47  3  0
 2  0      0 456496 111652 6596828    0    0     0 45116 1860 1335 38 13 47  3  0
 3  0      0 379904 111652 6668832    0    0     0    20 1837 1045 51 13 36  0  0
 2  0      0 371640 111652 6665100    0    0     0 97136 2573 1616 43 14 39  4  0
