procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 490212 111412 6573704    0    0     0 44352 3146 1263 39 15 45  2  0
 2  0      0 442876 111412 6625256    0    0     0   652 1628 1212 43 10 47  0  0
 3  0      0 385676 111412 6681056    0    0     0 66504 2179 1364 44 13 40  3  0
 2  0      0 483484 111412 6560528    0    0     0 72348 2303 1476 47 14 37  3  0
 1  1      0 428556 111412 6617992    0    0   136  4376 1320 1090 42 11 47  0  0
 2  0      0 377680 111412 6668112    0    0     0 61732 2357 1475 39 11 46  3  0
 2  0      0 331312 111412 6713736    0    0     0 66068 2093 1503 39 10 47  4  0
 2  0      0 274888 111412 6766500    0    0  1666   120 1946 1992 42 12 46  0  0
 3  0      0 218468 111412 6831160    0    0     0 66092 2234 1403 46 13 37  4  0
 2  0      0 209812 111412 6833340    0    0     0 31104 1788 1374 45 14 40  1  0
 1  0      0 470436 111412 6560124    0    0   548 77164 2184 1775 32 13 52  4  0
 1  0      0 460356 111412 6569824    0    0  1119     0 1446 1557 22  7 71  0  0
 1  0      0 450056 111412 6579944    0    0     0   592 1289 1145 21  7 72  1  0
 1  0      0 439724 111412 6589728    0    0     0     0 1238 1122 21  7 71  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 418556 111412 6615744    0    0     0    28 1213 1163 26  9 66  0  0
 1  0      0 448236 111412 6580604    0    0     0 31260 1555 1240 27  8 63  2  0
 2  0      0 436644 111412 6592156    0    0     0     4 1108 1064 22  6 72  0  0
 1  0      0 425332 111412 6603224    0    0     0   220 1291 1164 22  7 72  0  0
 1  0      0 413488 111412 6614748    0    0     0    52 1097 1037 21  7 72  0  0
 1  0      0 412380 111412 6625332    0    0   140     4 1294 1265 22  6 72  0  0
 6  0      0 442592 111412 6611848    0    0     0 31300 1739 1323 39 12 48  1  0
 8  0      0 350984 111412 6718840    0    0     0     0 1562 1091 85 15  0  0  0
 6  0      0 240104 111412 6827656    0    0   832 50656 1887 1484 81 17  0  2  0
 3  2      0 117660 111412 6945936    0    0     0 87588 1880 1425 82 17  0  1  0
